EQIPMENT_ID	OTHER_ID	MTF_ID		SerNum		Correct_OTHERID	Correct_SerNum
19272		VMM3_0000100	20MNEVMM300002	000100		VMM3_0000100	100
19273		VMM3_1000012	20MNEVMM300003	1000012		VMM3_0000012	12
19274		VMM3_0000010	20MNEVMM300004	000010		VMM3_0000010	10
19275		----NULL----	20MNEVMM300005	861		VMM3_0000861	861
19276		----NULL----	20MNEVMM300006	1437		VMM3_0001437	1437
19277		----NULL----	20MNEVMM300007	2101		VMM3_0002101	2101
19278		----NULL----	20MNEVMM300008	2720		VMM3_0002720	2720
19279		----NULL----	20MNEVMM300009	1625		VMM3_0001625	1625
19280		----NULL----	20MNEVMM300010	1981		VMM3_0001981	1981
19281		----NULL----	20MNEVMM300011	2669		VMM3_0002669	2669
19271		----NULL----	20MNEVMM309999	846		VMM3_0000846	846
28972		VMM3_1000013	20MNEVMM300012	1000013		VMM3_0000013	13
28973		VMM3_1000014	20MNEVMM300013	1000014		VMM3_0000014	14
28974		VMM3_1000018	20MNEVMM300014	1000018		VMM3_0000018	18
28975		VMM3_1000019	20MNEVMM300015	1000019		VMM3_0000019	19
28976		VMM3_1000020	20MNEVMM300016	1000020		VMM3_0000020	20
28977		VMM3_1000023	20MNEVMM300017	1000023		VMM3_0000023	23
28978		VMM3_1000024	20MNEVMM300018	1000024		VMM3_0000024	24
28979		VMM3_1000028	20MNEVMM300019	1000028		VMM3_0000028	28
28980		VMM3_1000033	20MNEVMM300020	1000033		VMM3_0000033	33
28981		VMM3_1000034	20MNEVMM300021	1000034		VMM3_0000034	34
28982		VMM3_1000037	20MNEVMM300022	1000037		VMM3_0000037	37
28983		VMM3_1000038	20MNEVMM300023	1000038		VMM3_0000038	38
28984		VMM3_1000041	20MNEVMM300024	1000041		VMM3_0000041	41
28985		VMM3_1000042	20MNEVMM300025	1000042		VMM3_0000042	42
28986		VMM3_1000043	20MNEVMM300026	1000043		VMM3_0000043	43
28987		VMM3_1000044	20MNEVMM300027	1000044		VMM3_0000044	44
28988		VMM3_1000045	20MNEVMM300028	1000045		VMM3_0000045	45
28989		VMM3_1000047	20MNEVMM300029	1000047		VMM3_0000047	47
28990		VMM3_1000048	20MNEVMM300030	1000048		VMM3_0000048	48
28991		VMM3_1000049	20MNEVMM300031	1000049		VMM3_0000049	49
28992		VMM3_1000055	20MNEVMM300032	1000055		VMM3_0000055	55
28993		VMM3_1000056	20MNEVMM300033	1000056		VMM3_0000056	56
28994		VMM3_1000058	20MNEVMM300034	1000058		VMM3_0000058	58
28995		VMM3_1000060	20MNEVMM300035	1000060		VMM3_0000060	60
28996		VMM3_1000061	20MNEVMM300036	1000061		VMM3_0000061	61
28997		VMM3_1000063	20MNEVMM300037	1000063		VMM3_0000063	63
28998		VMM3_1000066	20MNEVMM300038	1000066		VMM3_0000066	66
28999		VMM3_1000067	20MNEVMM300039	1000067		VMM3_0000067	67
29000		VMM3_1000069	20MNEVMM300040	1000069		VMM3_0000069	69
29001		VMM3_1000070	20MNEVMM300041	1000070		VMM3_0000070	70
29002		VMM3_1000074	20MNEVMM300042	1000074		VMM3_0000074	74
29003		VMM3_1000075	20MNEVMM300043	1000075		VMM3_0000075	75
29004		VMM3_1000076	20MNEVMM300044	1000076		VMM3_0000076	76
29005		VMM3_1000077	20MNEVMM300045	1000077		VMM3_0000077	77
29006		VMM3_1000078	20MNEVMM300046	1000078		VMM3_0000078	78
29007		VMM3_1000079	20MNEVMM300047	1000079		VMM3_0000079	79
29008		VMM3_1000080	20MNEVMM300048	1000080		VMM3_0000080	80
29009		VMM3_1000081	20MNEVMM300049	1000081		VMM3_0000081	81
29010		VMM3_1000084	20MNEVMM300050	1000084		VMM3_0000084	84
29011		VMM3_1000085	20MNEVMM300051	1000085		VMM3_0000085	85
29012		VMM3_1000086	20MNEVMM300052	1000086		VMM3_0000086	86
29013		VMM3_1000087	20MNEVMM300053	1000087		VMM3_0000087	87
29014		VMM3_1000088	20MNEVMM300054	1000088		VMM3_0000088	88
29015		VMM3_1000089	20MNEVMM300055	1000089		VMM3_0000089	89
29016		VMM3_1000091	20MNEVMM300056	1000091		VMM3_0000091	91
29017		VMM3_1000094	20MNEVMM300057	1000094		VMM3_0000094	94
29018		VMM3_1000096	20MNEVMM300058	1000096		VMM3_0000096	96
29019		VMM3_1000098	20MNEVMM300059	1000098		VMM3_0000098	98
29020		VMM3_1000101	20MNEVMM300060	1000101		VMM3_0000101	101
29021		VMM3_1000105	20MNEVMM300061	1000105		VMM3_0000105	105
29022		VMM3_1000106	20MNEVMM300062	1000106		VMM3_0000106	106
29023		VMM3_1000107	20MNEVMM300063	1000107		VMM3_0000107	107
29024		VMM3_1000108	20MNEVMM300064	1000108		VMM3_0000108	108
29025		VMM3_1000109	20MNEVMM300065	1000109		VMM3_0000109	109
29026		VMM3_1000110	20MNEVMM300066	1000110		VMM3_0000110	110
29027		VMM3_1000111	20MNEVMM300067	1000111		VMM3_0000111	111
29028		VMM3_1000112	20MNEVMM300068	1000112		VMM3_0000112	112
29029		VMM3_1000130	20MNEVMM300069	1000130		VMM3_0000130	130
29030		VMM3_1000138	20MNEVMM300070	1000138		VMM3_0000138	138
29031		VMM3_1000139	20MNEVMM300071	1000139		VMM3_0000139	139
29032		VMM3_1000140	20MNEVMM300072	1000140		VMM3_0000140	140
29033		VMM3_1000142	20MNEVMM300073	1000142		VMM3_0000142	142
29034		VMM3_1000143	20MNEVMM300074	1000143		VMM3_0000143	143
29035		VMM3_1000144	20MNEVMM300075	1000144		VMM3_0000144	144
29036		VMM3_1000151	20MNEVMM300076	1000151		VMM3_0000151	151
29037		VMM3_1000153	20MNEVMM300077	1000153		VMM3_0000153	153
29038		VMM3_1000154	20MNEVMM300078	1000154		VMM3_0000154	154
29039		VMM3_1000157	20MNEVMM300079	1000157		VMM3_0000157	157
29040		VMM3_1000159	20MNEVMM300080	1000159		VMM3_0000159	159
29041		VMM3_1000161	20MNEVMM300081	1000161		VMM3_0000161	161
29042		VMM3_1000162	20MNEVMM300082	1000162		VMM3_0000162	162
29043		VMM3_1000164	20MNEVMM300083	1000164		VMM3_0000164	164
29044		VMM3_1000167	20MNEVMM300084	1000167		VMM3_0000167	167
29045		VMM3_1000170	20MNEVMM300085	1000170		VMM3_0000170	170
29046		VMM3_1000175	20MNEVMM300086	1000175		VMM3_0000175	175
29047		VMM3_1000178	20MNEVMM300087	1000178		VMM3_0000178	178
29048		VMM3_1000179	20MNEVMM300088	1000179		VMM3_0000179	179
29049		VMM3_1000181	20MNEVMM300089	1000181		VMM3_0000181	181
29050		VMM3_1000182	20MNEVMM300090	1000182		VMM3_0000182	182
29051		VMM3_1000183	20MNEVMM300091	1000183		VMM3_0000183	183
29052		VMM3_1000184	20MNEVMM300092	1000184		VMM3_0000184	184
29053		VMM3_1000185	20MNEVMM300093	1000185		VMM3_0000185	185
29054		VMM3_1000186	20MNEVMM300094	1000186		VMM3_0000186	186
29055		VMM3_1000187	20MNEVMM300095	1000187		VMM3_0000187	187
29056		VMM3_1000188	20MNEVMM300096	1000188		VMM3_0000188	188
29057		VMM3_1000189	20MNEVMM300097	1000189		VMM3_0000189	189
29058		VMM3_1000191	20MNEVMM300098	1000191		VMM3_0000191	191
29059		VMM3_1000192	20MNEVMM300099	1000192		VMM3_0000192	192
29060		VMM3_1000193	20MNEVMM300100	1000193		VMM3_0000193	193
29061		VMM3_1000196	20MNEVMM300101	1000196		VMM3_0000196	196
29062		VMM3_1000199	20MNEVMM300102	1000199		VMM3_0000199	199
29063		VMM3_1000200	20MNEVMM300103	1000200		VMM3_0000200	200
29064		VMM3_1000201	20MNEVMM300104	1000201		VMM3_0000201	201
29065		VMM3_1000203	20MNEVMM300105	1000203		VMM3_0000203	203
29066		VMM3_1000204	20MNEVMM300106	1000204		VMM3_0000204	204
29067		VMM3_1000205	20MNEVMM300107	1000205		VMM3_0000205	205
29068		VMM3_1000206	20MNEVMM300108	1000206		VMM3_0000206	206
29069		VMM3_1000208	20MNEVMM300109	1000208		VMM3_0000208	208
29070		VMM3_1000210	20MNEVMM300110	1000210		VMM3_0000210	210
29071		VMM3_1000211	20MNEVMM300111	1000211		VMM3_0000211	211
29072		VMM3_1000212	20MNEVMM300112	1000212		VMM3_0000212	212
29073		VMM3_1000215	20MNEVMM300113	1000215		VMM3_0000215	215
29074		VMM3_1000216	20MNEVMM300114	1000216		VMM3_0000216	216
29075		VMM3_1000217	20MNEVMM300115	1000217		VMM3_0000217	217
29076		VMM3_1000219	20MNEVMM300116	1000219		VMM3_0000219	219
29077		VMM3_1000221	20MNEVMM300117	1000221		VMM3_0000221	221
29078		VMM3_1000224	20MNEVMM300118	1000224		VMM3_0000224	224
29079		VMM3_1000225	20MNEVMM300119	1000225		VMM3_0000225	225
29080		VMM3_1000226	20MNEVMM300120	1000226		VMM3_0000226	226
29081		VMM3_1000227	20MNEVMM300121	1000227		VMM3_0000227	227
29082		VMM3_1000228	20MNEVMM300122	1000228		VMM3_0000228	228
29083		VMM3_1000229	20MNEVMM300123	1000229		VMM3_0000229	229
29084		VMM3_1000231	20MNEVMM300124	1000231		VMM3_0000231	231
29085		VMM3_1000234	20MNEVMM300125	1000234		VMM3_0000234	234
29086		VMM3_1000235	20MNEVMM300126	1000235		VMM3_0000235	235
29087		VMM3_1000236	20MNEVMM300127	1000236		VMM3_0000236	236
29088		VMM3_1000237	20MNEVMM300128	1000237		VMM3_0000237	237
29089		VMM3_1000238	20MNEVMM300129	1000238		VMM3_0000238	238
29090		VMM3_1000241	20MNEVMM300130	1000241		VMM3_0000241	241
29091		VMM3_1000244	20MNEVMM300131	1000244		VMM3_0000244	244
29092		VMM3_1000245	20MNEVMM300132	1000245		VMM3_0000245	245
29093		VMM3_1000246	20MNEVMM300133	1000246		VMM3_0000246	246
29094		VMM3_1000247	20MNEVMM300134	1000247		VMM3_0000247	247
29095		VMM3_1000248	20MNEVMM300135	1000248		VMM3_0000248	248
29096		VMM3_1000250	20MNEVMM300136	1000250		VMM3_0000250	250
29097		VMM3_1000251	20MNEVMM300137	1000251		VMM3_0000251	251
29098		VMM3_1000252	20MNEVMM300138	1000252		VMM3_0000252	252
29099		VMM3_1000253	20MNEVMM300139	1000253		VMM3_0000253	253
29100		VMM3_1000254	20MNEVMM300140	1000254		VMM3_0000254	254
29101		VMM3_1000257	20MNEVMM300141	1000257		VMM3_0000257	257
29102		VMM3_1000260	20MNEVMM300142	1000260		VMM3_0000260	260
29103		VMM3_1000263	20MNEVMM300143	1000263		VMM3_0000263	263
29104		VMM3_1000264	20MNEVMM300144	1000264		VMM3_0000264	264
29105		VMM3_1000267	20MNEVMM300145	1000267		VMM3_0000267	267
29106		VMM3_1000268	20MNEVMM300146	1000268		VMM3_0000268	268
29107		VMM3_1000269	20MNEVMM300147	1000269		VMM3_0000269	269
29108		VMM3_1000271	20MNEVMM300148	1000271		VMM3_0000271	271
